Time_ms,Time_sec,Xa,Ya,Za
17960,17.96,-0.08,-0.7,0.34
18015,18.02,-0.48,-0.2,0.39
18069,18.07,0.27,-0.07,1.55
18122,18.12,0.03,-0.54,0.73
18176,18.18,0.34,-0.37,0.95
18228,18.23,-0.48,-0.58,0.1
18282,18.28,-0.04,0.2,1.03
18335,18.34,0.38,-0.4,1.35
18388,18.39,-0.29,-0.66,0.12
18443,18.44,-0.27,0.09,0.76
18495,18.5,0.39,-0.35,1.55
18548,18.55,-0.21,-0.71,0.18
18603,18.6,-0.32,0.04,0.75
18656,18.66,0.38,-0.26,1.5
18709,18.71,-0.23,-0.77,0.31
18762,18.76,-0.24,-0.75,0.28
18817,18.82,-0.33,0.04,0.71
18870,18.87,0.42,-0.24,1.54
18923,18.92,-0.31,-0.7,0.24
18977,18.98,-0.32,0.04,0.75
19030,19.03,0.41,-0.35,1.48
19083,19.08,-0.4,-0.75,0.15
19137,19.14,-0.2,0.05,1.01
19190,19.19,0.27,-0.42,1.37
19244,19.24,-0.45,-0.62,0.04
19297,19.3,-0.58,-0.56,0.02
19351,19.35,0.02,0.1,1.22
19403,19.4,0.28,-0.51,1.11
19457,19.46,-0.57,-0.35,0
19511,19.51,0.3,-0.06,1.45
19563,19.56,-0.07,-0.74,0.71
19617,19.62,-0.52,-0.05,0.38
19672,19.67,0.43,-0.23,1.52
19725,19.73,-0.44,-0.8,0.23
19779,19.78,-0.46,-0.56,-0.03
19833,19.83,0.02,0.06,1.24
19886,19.89,0.13,-0.58,1.05
19939,19.94,-0.56,-0.16,0.09
19993,19.99,0.4,-0.3,1.63
20046,20.05,-0.41,-0.8,0.14
20100,20.1,-0.12,0.07,1.15
20153,20.15,0.25,-0.61,1.27
20206,20.21,-0.55,-0.11,-0.04
20261,20.26,-0.27,0.09,0.6
20315,20.32,0.41,-0.47,1.54
20367,20.37,-0.53,-0.25,-0.28
20422,20.42,0.37,-0.19,1.73
20475,20.48,-0.35,-0.7,0.21
20530,20.53,-0.06,0.02,1.28
20583,20.58,0.08,-0.72,1.03
20635,20.64,-0.33,0.07,0.39
20688,20.69,0.45,-0.58,1.63
20742,20.74,-0.63,-0.17,-0.37
20797,20.8,-0.32,0.09,0.41
20850,20.85,0.42,-0.55,1.78
20902,20.9,-0.59,-0.03,-0.41
20958,20.96,0.46,-0.43,2
21011,21.01,-0.66,-0.46,-0.47
21066,21.07,0.36,-0.21,1.89
21120,21.12,-0.45,-0.83,0.12
21174,21.17,-0.71,-0.3,-0.43
21228,21.23,0.43,-0.4,2
21281,21.28,-0.61,-0.66,-0.28
21337,21.34,0.35,0.04,1.67
21389,21.39,-0.36,-0.8,0.23
21443,21.44,0.07,0.18,1.1
21494,21.49,-0.05,-0.74,0.79
21549,21.55,-0.16,0.24,0.54
21602,21.6,0.36,0.02,1.6
21654,21.65,-0.37,0.14,0.13
21707,21.71,0.38,0.24,1.1
21758,21.76,-0.16,-0.78,0.6
21813,21.81,0.04,0.24,0.84
21865,21.87,-0.09,-0.78,0.99
21919,21.92,-0.28,0.22,0.45
21972,21.97,0.08,-0.76,1.36
22025,22.03,-0.32,0.29,0.12
22078,22.08,0.13,-0.8,1.61
22131,22.13,-0.48,0.21,-0.12
22185,22.19,0.37,-0.73,1.68
22239,22.24,-0.44,0.27,-0.27
22292,22.29,0.21,-0.79,1.89
22345,22.35,-0.46,0.29,-0.37
22400,22.4,0.34,0.2,1.24
22452,22.45,-0.33,-0.95,0.66
22506,22.51,0.42,0.16,1.43
22557,22.56,-0.39,-0.86,0.47
22611,22.61,0.48,0.05,1.66
22664,22.66,-0.52,-0.84,0.28
22718,22.72,0.45,-0.11,1.72
22771,22.77,-0.57,-0.61,0.01
22824,22.82,0.51,-0.31,1.93
22878,22.88,-0.69,-0.5,-0.21
22933,22.93,-0.43,0.29,-0.24
22987,22.99,0.17,-0.86,1.66
23041,23.04,-0.24,0.41,0.02
23093,23.09,0.01,-0.91,1.37
23146,23.15,0.13,0.41,0.54
23198,23.2,-0.13,-0.98,1.02
23252,23.25,0.27,0.27,1.09
23305,23.31,-0.34,-0.96,0.61
23358,23.36,0.55,0.08,1.64
23410,23.41,-0.5,-0.67,0.07
23464,23.46,0.54,-0.27,2
23518,23.52,-0.73,-0.43,-0.32
23573,23.57,-0.31,0.4,-0.11
23626,23.63,0,-0.88,1.41
23680,23.68,0.09,0.39,0.55
23732,23.73,-0.14,-0.92,0.84
23786,23.79,0.41,0.12,1.41
23838,23.84,-0.42,-0.73,0.19
23891,23.89,0.64,-0.21,1.97
23945,23.95,-0.68,-0.34,-0.4
24000,24,0.45,-0.55,2
24053,24.05,-0.79,0.04,-0.59
24108,24.11,0.32,0.3,1.05
24159,24.16,-0.41,-0.8,0.39
24213,24.21,0.58,-0.09,1.82
24266,24.27,-0.64,-0.34,-0.33
24322,24.32,0.51,-0.7,2
24375,24.38,-0.82,0.15,-0.65
24428,24.43,0.19,-0.91,1.91
24481,24.48,-0.3,0.46,-0.09
24536,24.54,-0.08,-0.98,1.2
24590,24.59,-0.78,0.01,-0.61
24644,24.64,0.24,-0.92,1.96
24696,24.7,-0.35,0.47,-0.22
24751,24.75,-0.14,-0.99,1.25
24805,24.81,0.41,0.24,1.17
24857,24.86,-0.5,-0.56,0.01
24911,24.91,0.6,-0.52,2
24965,24.97,-0.75,0.21,-0.57
25018,25.02,0.64,-0.02,1.73
25071,25.07,-0.73,-0.32,-0.32
25126,25.13,0.25,-0.86,2
25180,25.18,-0.4,0.47,-0.25
25234,25.23,-0.14,-1.02,1.06
25287,25.29,0.63,0,1.72
25339,25.34,-0.77,-0.13,-0.45
25395,25.4,0.27,-0.95,1.86
25448,25.45,-0.71,-0.26,-0.32
25503,25.5,0.31,-0.85,1.82
25555,25.56,-0.13,0.49,0.22
25609,25.61,-0.48,-0.73,0.3
25663,25.66,0.51,-0.69,1.93
25716,25.72,-0.41,0.45,-0.26
25771,25.77,-0.3,-0.94,0.73
25824,25.82,0.5,-0.52,2
25877,25.88,-0.56,0.39,-0.34
25931,25.93,0.5,-0.73,1.99
25985,25.99,-0.18,0.5,-0.02
26039,26.04,-0.6,-0.76,0.2
26092,26.09,0.45,-0.8,1.95
26145,26.15,0.1,0.51,0.44
26198,26.2,-0.7,-0.42,-0.08
26253,26.25,0.12,-0.95,1.73
26306,26.31,0.73,0.23,1.39
26357,26.36,-0.67,0.11,-0.39
26412,26.41,0.41,-0.73,1.93
26465,26.47,0.01,0.5,0.41
26517,26.52,-0.79,-0.33,-0.14
26572,26.57,-0.1,-1.04,1.39
26626,26.63,0.61,-0.32,1.94
26679,26.68,-0.41,0.47,-0.16
26733,26.73,-0.76,-0.55,-0.07
26788,26.79,0.03,-1.02,1.63
26842,26.84,0.66,-0.3,1.96
26895,26.9,-0.84,-0.44,-0.15
26949,26.95,-0.16,-1.09,1.36
27003,27,0.57,-0.56,2
27057,27.06,0.35,0.52,0.45
27109,27.11,-0.72,0.11,-0.42
27163,27.16,-0.52,-0.92,0.59
27216,27.22,0.12,-0.98,1.79
27270,27.27,0.74,-0.32,2
27323,27.32,-0.06,0.55,0.22
27376,27.38,-0.45,-1.01,0.87
27430,27.43,0.1,-0.95,1.63
27483,27.48,0.75,-0.46,2
27536,27.54,0.3,0.45,0.7
27588,27.59,-0.57,0.41,-0.44
27642,27.64,-0.75,-0.3,-0.25
27698,27.7,-0.48,-1.02,0.81
27751,27.75,-0.01,-1.05,1.58
27805,27.81,0.66,-0.68,2
27858,27.86,-0.32,0.53,-0.34
27913,27.91,-0.74,0.01,-0.56
27967,27.97,-0.82,-0.65,0.09
28020,28.02,-0.5,-1.09,0.95
28075,28.08,-0.02,-1.11,1.57
28129,28.13,0.38,-0.96,2
28182,28.18,0.76,-0.45,2
28235,28.24,0.84,0.23,1.58
28286,28.29,0.28,0.59,0.34
28339,28.34,-0.26,0.57,-0.34
28393,28.39,-0.77,-0.7,0.27
28447,28.45,-0.51,-0.98,0.77
28502,28.5,-0.31,-1.19,1.36
28555,28.56,0.04,-1.15,2
28608,28.61,0.3,-1.05,2
28661,28.66,0.71,-0.78,2
28715,28.72,0.94,-0.52,2
28768,28.77,0.94,-0.21,2
28820,28.82,0.96,0.25,1.56
28872,28.87,0.75,0.47,1.06
28924,28.92,0.59,0.55,0.53
28977,28.98,0.31,0.69,0.16
29029,29.03,0.16,0.7,-0.11
29081,29.08,-0.03,0.68,-0.41
29135,29.14,-0.07,0.68,-0.47
29190,29.19,-0.94,-0.02,-0.64
29245,29.25,-0.96,0.05,-0.62
29299,29.3,-0.86,0.04,-0.54
29352,29.35,-0.96,0.05,-0.68
29407,29.41,-0.94,0.14,-0.73
29461,29.46,-0.94,0.08,-0.75
29515,29.52,-0.77,-0.95,0.5
29570,29.57,-0.88,-0.76,0.29
29624,29.62,-1,-0.58,0.08
29677,29.68,-0.99,-0.32,-0.12
29732,29.73,-1.02,-0.23,-0.37
29788,29.79,-0.75,-0.96,0.68
29842,29.84,-0.86,-0.81,0.14
29896,29.9,-1.08,-0.53,-0.16
29950,29.95,-1.2,-0.1,-0.55
30006,30.01,-0.96,0.15,-0.72
30060,30.06,-1,-0.55,-0.11
30115,30.12,-1.25,-0.12,-0.54
30171,30.17,-0.96,0.27,-0.85
30225,30.23,-0.73,0.53,-1.04
30278,30.28,-0.16,0.66,-0.7
30332,30.33,-0.86,0.55,-1.25
30387,30.39,-0.14,0.8,-0.91
30441,30.44,0.64,0.68,0.16
30493,30.49,1.24,0.14,2
30544,30.54,1.11,-0.84,2
30598,30.6,0.62,-1.53,2
30651,30.65,-0.26,-1.66,2
30705,30.71,-0.59,-1.15,1.25
30759,30.76,-1,-0.24,-0.44
30814,30.81,-0.82,-0.73,0.34
30868,30.87,-1.19,0,-0.83
30922,30.92,-0.98,0.61,-1.21
30977,30.98,0.1,0.79,-0.66
31030,31.03,1.09,0.32,1.11
31081,31.08,1.1,-0.68,2
31134,31.13,0.47,-1.48,2
31187,31.19,-0.52,-1.42,1.82
31242,31.24,-1.07,-0.6,-0.08
31297,31.3,-0.96,-0.67,0.07
31350,31.35,-1.21,0.34,-1.01
31405,31.41,-0.45,0.78,-1.1
31459,31.46,1.02,0.52,0.84
31511,31.51,1.14,-0.73,2
31564,31.56,0.13,-1.71,2
31617,31.62,-0.7,-1.16,1.27
31671,31.67,-1.2,0.16,-1
31725,31.73,-1.19,0.12,-1.03
31779,31.78,-0.63,0.89,-1.36
31834,31.83,1.24,0.54,0.79
31885,31.89,1.06,-0.96,2
31938,31.94,-0.3,-1.82,2
31992,31.99,-1.06,-0.61,0.11
32047,32.05,-1.12,0.62,-1.29
32101,32.1,0.47,0.87,-0.38
32154,32.15,1.24,-0.45,2
32206,32.21,0.05,-1.69,2
32260,32.26,-0.35,-1.82,2
32314,32.31,-1.07,-0.43,-0.03
32369,32.37,-1.07,0.78,-1.45
32423,32.42,0.96,0.7,0.08
32475,32.48,1.09,-0.92,2
32528,32.53,-0.53,-1.88,2
32582,32.58,-1.17,-0.09,-0.53
32637,32.64,-1.18,0.25,-1.14
32692,32.69,-0.16,0.98,-1.11
32745,32.75,1.5,-0.2,2
32798,32.8,0.24,-1.76,2
32851,32.85,-0.9,-0.86,0.64
32906,32.91,-1.15,0.77,-1.66
32960,32.96,1.05,0.69,0.25
33011,33.01,1.05,-1.23,2
33064,33.06,-0.69,-1.66,2
33119,33.12,-0.8,-1.08,1.13
33173,33.17,-1.12,0.68,-1.48
33227,33.23,0.99,0.74,0.08
33278,33.28,1.11,-1.12,2
33332,33.33,-0.75,-1.77,2
33386,33.39,-1.33,0.28,-1.09
33440,33.44,0.09,1.01,-0.82
33494,33.49,1.43,-0.62,2
33546,33.55,-0.49,-1.76,2
33600,33.6,-1.32,-0.03,-0.73
33655,33.66,-1.27,0.52,-1.33
33710,33.71,0.63,0.86,-0.24
33763,33.76,1.15,-1,2
33815,33.82,-0.83,-1.75,2
33869,33.87,-1.32,0.37,-1.15
33924,33.92,0.32,1.04,-0.71
33977,33.98,1.4,-0.85,2
34030,34.03,-0.68,-1.86,2
34084,34.08,-0.97,-1.08,1.04
34138,34.14,-1.09,0.77,-1.47
34192,34.19,1.21,0.51,0.68
34244,34.24,0.9,-1.48,2
34297,34.3,-0.98,-1.23,1.11
34352,34.35,-1.15,0.77,-1.52
34405,34.41,1.2,0.58,0.71
34457,34.46,0.84,-1.43,2
34510,34.51,-1,-0.98,0.61
34565,34.57,-1.07,0.63,-0.95
34619,34.62,-0.36,0.84,-0.75
34672,34.67,1.48,-0.16,2
34725,34.73,-0.24,-1.64,2
34780,34.78,-1.17,-0.23,-0.37
34835,34.84,-0.23,0.97,-0.96
34889,34.89,1.41,-0.39,2
34941,34.94,-0.3,-1.88,2
34996,35,-0.85,-1.62,2
35050,35.05,-1.19,0.72,-1.43
35104,35.1,1.01,0.81,-0.03
35158,35.16,0.93,-1.31,2
35210,35.21,-0.85,-1.51,1.79
35264,35.26,-1.14,0.72,-1.37
35318,35.32,0.96,0.73,0
35371,35.37,0.85,-1.38,2
35424,35.42,-0.88,-1.53,1.84
35477,35.48,-1.21,-0.36,0.09
35531,35.53,-0.6,1.08,-1.58
35586,35.59,1.48,-0.12,1.85
35639,35.64,-0.06,-1.82,2
35693,35.69,-1.26,-0.36,-0.19
35748,35.75,-0.5,0.85,-0.95
35802,35.8,0.68,0.83,-0.23
35855,35.86,1.18,-0.92,2
35908,35.91,-0.74,-1.47,1.55
35962,35.96,-1.28,0.32,-0.61
36017,36.02,0.63,0.77,-0.19
36069,36.07,1.2,-0.92,2
36122,36.12,-0.71,-1.65,2
36176,36.18,-1.28,0.31,-0.86
36231,36.23,0.65,0.77,-0.14
36284,36.28,1.29,0.28,1.27
36335,36.34,-0.69,-1.46,1.74
36389,36.39,-1.18,-0.84,0.38
